NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
MLKL	5249.09	4753.12	4023.45	4530.56	2175.73	2237.29	2279.14	938.07	836.29	885.49	805.63	726.91	720.38	691.33	665.94	1165.12	1084.45	1080.32	1116.31
MME	245.57	242.09	275.26	251.74	243.36	246.28	155.04	582.06	492.48	537.62	606.39	1427.67	1268.85	1178.24	1375.28	1377.11	1631.85	1622.44	1644.59
MOSC1	377.75	430.98	382.3	377.13	230.72	230.72	192.37	99.26	83.53	87.08	90.56	81.79	73.87	76.5	95.95	140.99	125.96	133.42	126.8
MRTO4	1128.17	1382.87	1063.63	1120.36	1052.32	984.25	966.11	498.93	518.53	545.24	538.2	462.45	439.85	534.1	419.46	465.94	325.88	373.93	345.38
MSH2	665.33	781.9	583.41	622.85	410.48	515.61	439.7	222.56	194.14	181.38	216.37	258.61	267.23	255.21	247.21	171.3	207.51	212.42	245.54
MSH6	5507.17	5520.19	5044.08	4801.5	4028.54	4181.32	4699.19	1600.83	1523.73	1601.66	1619.92	1619.33	1872.33	1894.2	1709.81	1724.79	1871.76	2045.04	1846.46
MSX1	446.62	409.48	425.86	430.81	331.98	342.06	407.65	183.84	172.11	164.98	179.39	169.13	165.69	151.57	155.73	185.54	160.59	182.96	166.55
MT1G	4837.83	4289.87	3899.34	3936.06	4561.2	5306.32	8976.74	830.98	726.75	851.96	851.25	217.46	304.52	598.39	513.06	1983.64	1738.84	1982.39	1940.2
MTBP	382.77	420.08	417.04	455.62	305.09	306.22	221.26	171.97	167	157.72	168.77	171.22	148.56	138.88	140.71	116.52	150.78	132.67	134.35
NCAPD3	468.28	503.45	411.57	430.28	392.28	431.95	366.06	178.97	140.71	148.34	158.21	152.92	149.42	154.1	166.66	119.14	140.32	144.95	143.52
NEIL3	463.74	512.87	519.18	520.85	453.79	429.06	209.41	199.29	163.59	172.3	176.9	154.25	139.4	135.2	133.54	137.54	145.78	157.15	163.96
NETO2	6512.96	6699.96	7153.73	6896.34	6486.45	6400	6098.13	3453.11	2889.5	3218.15	3469.58	2883.14	3107.38	2916.15	2737.43	1457.93	1784.95	1687.89	1752.72
NFE2L1	1007.56	830.51	1026.38	1019.16	836.03	796.61	904.24	1923.01	1921.21	2015.58	1972.16	2950.01	3476.28	3307.57	3611.07	2550.14	2984.56	3050.07	2797.94
NFIL3	1049.74	1034.71	967.23	987.76	476.02	545.15	627.36	2192.14	2033.14	2048.23	2192.81	2536.85	2746.44	2442.25	2554.68	2122.64	2370.79	2444.56	2433.4
